query,old_page,current_page,old_clicks_28d,current_clicks_28d,old_impressions_28d,current_impressions_28d,old_position_28d,current_position_28d,ctr_change_percentage_points,clicks_7d,impressions_7d,position_7d,probable_cause,target_page,required_action,priority,pre_migration_data,source_window,checked_at
radiance skin & hair clinics bhubaneswar,,,2,2,36,21,1.06,1.19,3.96,0,4,1,CTR_PROBLEM,/,Preserve the homepage as the observed owner for this branded query and maintain clear links to the relevant hair treatment pathways.,P1,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
radiance skin and hair clinic bhubaneswar,,,1,11,18,70,1,1.23,10.15,1,6,1,CTR_PROBLEM,/,Preserve the homepage as the observed owner for this branded query and maintain clear links to the relevant hair treatment pathways.,P1,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
hair transplant in odisha,,,1,1,45,45,2.47,3.47,0,0,11,3.27,MONITOR,/hair-transplant-bhubaneswar,"Strengthen the existing hair transplant owner with relevant internal links, results and decision content; do not create a keyword-variant URL.",P1,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
best hair transplant clinic in odisha,,,1,1,27,29,3.41,3.83,-0.25,0,9,4.89,MONITOR,/hair-transplant-bhubaneswar,"Strengthen the existing hair transplant owner with relevant internal links, results and decision content; do not create a keyword-variant URL.",P1,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
hair transplant in cuttack,,,1,1,22,18,5.05,5.11,1.01,0,2,1,MONITOR,/hair-transplant-bhubaneswar,"Strengthen the existing hair transplant owner with relevant internal links, results and decision content; do not create a keyword-variant URL.",P1,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
laser hair removal,,,0,0,448,1424,11.23,3.33,0,0,64,1.34,CTR_PROBLEM,/hair-loss-clinic-bhubaneswar,Review the exact query-page snippet before changing a protected title or H1; preserve the established query owner unless evidence shows a mismatch.,P1,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
gfc treatment,,,0,0,519,1147,11.18,7.48,0,,,,CTR_PROBLEM,/treatments/hair-restoration/prp-gfc-scalp-therapy,Review the exact query-page snippet before changing a protected title or H1; preserve the established query owner unless evidence shows a mismatch.,P1,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
hair removal treatment,,,0,0,242,174,49.95,53.76,0,,,,POSITION_DECLINE_REQUIRES_QUERY_PAGE_REVIEW,/hair-loss-clinic-bhubaneswar,"Strengthen the existing hair-loss owner with concern, guide and doctor-answer links; use URL Inspection only for a confirmed indexation question.",P1,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
dandruff treatment,,,0,0,503,114,5.67,5.05,0,0,64,5.12,CTR_PROBLEM,/concerns/hair-loss-scalp/dandruff,Review the exact query-page snippet before changing a protected title or H1; preserve the established query owner unless evidence shows a mismatch.,P1,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
gfc procedure,,,0,0,274,111,5.5,6.49,0,,,,CTR_PROBLEM,/treatments/hair-restoration/prp-gfc-scalp-therapy,Review the exact query-page snippet before changing a protected title or H1; preserve the established query owner unless evidence shows a mismatch.,P1,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
ฉีด gfc ผม,,,0,0,285,108,44.44,47.27,0,,,,MONITOR,/treatments/hair-restoration/prp-gfc-scalp-therapy,Strengthen the existing PRP and GFC treatment page with related guides and doctor video context; do not create synonym pages.,P1,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
gfc กระตุ้นรากผม,,,0,0,71,108,51.32,53.9,0,,,,MONITOR,/treatments/hair-restoration/prp-gfc-scalp-therapy,Strengthen the existing PRP and GFC treatment page with related guides and doctor video context; do not create synonym pages.,P1,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
hair transplant in kolkata,,,0,0,200,95,39.13,41.07,0,,,,MONITOR,/hair-transplant-bhubaneswar,"Strengthen the existing hair transplant owner with relevant internal links, results and decision content; do not create a keyword-variant URL.",P1,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
hair transplant clinic in kolkata,,,0,0,167,92,43.05,38.42,0,,,,MONITOR,/hair-transplant-bhubaneswar,"Strengthen the existing hair transplant owner with relevant internal links, results and decision content; do not create a keyword-variant URL.",P1,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
top 10 hair transplant in bhubaneswar,,,0,0,95,83,8.31,7.71,0,0,15,7.73,CTR_PROBLEM,/hair-transplant-bhubaneswar,Review the exact query-page snippet before changing a protected title or H1; preserve the established query owner unless evidence shows a mismatch.,P1,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
best hair transplant near me,,,0,1,48,78,3.23,5.15,1.28,0,15,3.93,MONITOR,/hair-transplant-bhubaneswar,"Strengthen the existing hair transplant owner with relevant internal links, results and decision content; do not create a keyword-variant URL.",P1,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
